epoc (ms),timestamp (-04:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1478042406437,2016-11-01T19.20.06.437,26.48876953125,-0.43359375,1.43310546875,1.28125
1478042406456,2016-11-01T19.20.06.456,26.5078125,0.22607421875,-1.185546875,0.8564453125
1478042406477,2016-11-01T19.20.06.477,26.5283203125,-0.03076171875,-3.0947265625,5.09375
1478042406497,2016-11-01T19.20.06.497,26.548828125,-0.248046875,0.6748046875,4.60888671875
1478042406518,2016-11-01T19.20.06.518,26.5693359375,-0.9609375,0.51904296875,1.62744140625
1478042406538,2016-11-01T19.20.06.538,26.58984375,-0.92236328125,0.099609375,0.673828125
1478042406559,2016-11-01T19.20.06.559,26.6103515625,-0.7177734375,-0.02197265625,0.6806640625
1478042406578,2016-11-01T19.20.06.578,26.62939453125,-0.3544921875,-0.13623046875,0.74755859375
1478042406598,2016-11-01T19.20.06.598,26.64990234375,0.1796875,-0.20458984375,0.99755859375
1478042406619,2016-11-01T19.20.06.619,26.67041015625,0.15283203125,-0.30029296875,1.08154296875
1478042406639,2016-11-01T19.20.06.639,26.69091796875,0.08154296875,-0.41748046875,0.9462890625
1478042406660,2016-11-01T19.20.06.660,26.71142578125,0.20654296875,-0.49755859375,0.48974609375
1478042406680,2016-11-01T19.20.06.680,26.73193359375,0.51708984375,-0.45947265625,0.3759765625
1478042406699,2016-11-01T19.20.06.699,26.7509765625,0.61328125,-0.419921875,1.228515625
1478042406720,2016-11-01T19.20.06.720,26.771484375,0.5908203125,-0.69091796875,2.28515625
1478042406740,2016-11-01T19.20.06.740,26.7919921875,0.58642578125,-1.0009765625,2.5986328125
1478042406761,2016-11-01T19.20.06.761,26.8125,0.24853515625,-1.228515625,2.599609375
1478042406781,2016-11-01T19.20.06.781,26.8330078125,-0.1044921875,-1.43359375,2.37060546875
1478042406801,2016-11-01T19.20.06.801,26.85205078125,0.21142578125,-1.69775390625,2.1484375
1478042406821,2016-11-01T19.20.06.821,26.87255859375,0.6044921875,-2.072265625,1.78662109375
1478042406842,2016-11-01T19.20.06.842,26.89306640625,0.6015625,-2.55078125,0.82421875
1478042406862,2016-11-01T19.20.06.862,26.91357421875,0.701171875,-3.59765625,-0.02587890625
1478042406883,2016-11-01T19.20.06.883,26.93408203125,0.740234375,-3.89111328125,-1.05224609375
1478042406903,2016-11-01T19.20.06.903,26.95458984375,-0.2021484375,-1.0380859375,-2.28515625
1478042406922,2016-11-01T19.20.06.922,26.9736328125,0.77294921875,0.62255859375,1.39599609375
1478042406943,2016-11-01T19.20.06.943,26.994140625,0.212890625,0.423828125,-0.0498046875
1478042406963,2016-11-01T19.20.06.963,27.0146484375,0.84326171875,-1.6416015625,1.677734375
1478042406984,2016-11-01T19.20.06.984,27.03515625,0.6455078125,-0.970703125,2.41015625
1478042407004,2016-11-01T19.20.07.004,27.0556640625,0.6884765625,-0.8984375,2.60498046875
1478042407025,2016-11-01T19.20.07.025,27.076171875,-0.66162109375,-0.42138671875,2.61474609375
1478042407044,2016-11-01T19.20.07.044,27.09521484375,0.7705078125,-0.3359375,1.677734375
1478042407064,2016-11-01T19.20.07.064,27.11572265625,0.20654296875,-0.056640625,1.10400390625
1478042407085,2016-11-01T19.20.07.085,27.13623046875,0.13671875,-0.03125,1.1513671875
1478042407105,2016-11-01T19.20.07.105,27.15673828125,0.14013671875,-0.02685546875,1.09228515625
1478042407126,2016-11-01T19.20.07.126,27.17724609375,0.17529296875,0.00830078125,1.0224609375
1478042407145,2016-11-01T19.20.07.145,27.1962890625,0.1494140625,0.00390625,0.99755859375
1478042407165,2016-11-01T19.20.07.165,27.216796875,0.13916015625,0.025390625,0.95458984375
1478042407186,2016-11-01T19.20.07.186,27.2373046875,0.111328125,-0.00244140625,0.98388671875
1478042407206,2016-11-01T19.20.07.206,27.2578125,0.0859375,-0.046875,1.0146484375
1478042407227,2016-11-01T19.20.07.227,27.2783203125,0.1103515625,-0.0361328125,0.99755859375
1478042407247,2016-11-01T19.20.07.247,27.298828125,0.12646484375,-0.0302734375,0.99755859375
1478042407266,2016-11-01T19.20.07.266,27.31787109375,0.12060546875,-0.02587890625,0.9892578125
1478042407287,2016-11-01T19.20.07.287,27.33837890625,0.1337890625,-0.03271484375,0.9892578125
1478042407307,2016-11-01T19.20.07.307,27.35888671875,0.16064453125,-0.05224609375,1.0029296875
1478042407328,2016-11-01T19.20.07.328,27.37939453125,0.13818359375,-0.05859375,0.98681640625
1478042407348,2016-11-01T19.20.07.348,27.39990234375,0.1259765625,-0.0283203125,0.95849609375
1478042407369,2016-11-01T19.20.07.369,27.42041015625,0.13134765625,-0.03369140625,0.97021484375
1478042407388,2016-11-01T19.20.07.388,27.439453125,0.1396484375,-0.02294921875,0.96240234375
1478042407408,2016-11-01T19.20.07.408,27.4599609375,0.1142578125,0.01708984375,0.92724609375
1478042407429,2016-11-01T19.20.07.429,27.48046875,0.13916015625,-0.02587890625,0.97021484375
1478042407449,2016-11-01T19.20.07.449,27.5009765625,0.1513671875,-0.0458984375,0.9921875
1478042407470,2016-11-01T19.20.07.470,27.521484375,0.1533203125,-0.02783203125,0.96923828125
1478042407490,2016-11-01T19.20.07.490,27.5419921875,0.1357421875,-0.05908203125,0.97900390625
1478042407509,2016-11-01T19.20.07.509,27.56103515625,0.15087890625,-0.17236328125,1.0029296875
1478042407530,2016-11-01T19.20.07.530,27.58154296875,0.1357421875,-0.1875,1.0166015625
1478042407551,2016-11-01T19.20.07.551,27.60205078125,0.1572265625,-0.15478515625,1.02001953125
1478042407571,2016-11-01T19.20.07.571,27.62255859375,0.14453125,-0.1337890625,0.97265625
1478042407592,2016-11-01T19.20.07.592,27.64306640625,0.04248046875,0.26171875,1.01708984375
1478042407611,2016-11-01T19.20.07.611,27.662109375,0.005859375,1.197265625,1.439453125
1478042407631,2016-11-01T19.20.07.631,27.6826171875,-0.349609375,0.54541015625,1.994140625
1478042407652,2016-11-01T19.20.07.652,27.703125,-0.41650390625,1.302734375,1.888671875
1478042407672,2016-11-01T19.20.07.672,27.7236328125,-0.07763671875,1.28662109375,0.490234375
1478042407693,2016-11-01T19.20.07.693,27.744140625,-0.31201171875,-3.97265625,3.38818359375
